System ID, System Name,School ID - School Name,KK-12 % FRL
761,Atlanta Public Schools, 0306 - School of Technology at Carver,*
761,Atlanta Public Schools, 0373 - Martin L. King Jr. Middle School,*
761,Atlanta Public Schools, 0403 - Hank Aaron New Beginnings Academy,*
761,Atlanta Public Schools, 0406 - School of Health Sciences and Research at Carver,*
761,Atlanta Public Schools, 0504 - Harper-Archer Middle School,*
761,Atlanta Public Schools, 0505 - Atlanta Neighborhood Charter - Elementary,13.43
761,Atlanta Public Schools, 0506 - The School of the Arts at Carver,*
761,Atlanta Public Schools, 0604 - Bazoline E. Usher/Collier Heights Elementary School,*
761,Atlanta Public Schools, 2062 - The John Hope-Charles Walter Hill Elementary Schools,*
761,Atlanta Public Schools, 2560 - Charles L. Gideons Elementary School,*
761,Atlanta Public Schools, 2563 - Jackson Elementary School,6.87
761,Atlanta Public Schools, 2564 - Mary Lin Elementary School,12.42
761,Atlanta Public Schools, 2568 - Venetian Hills Elementary School,*
761,Atlanta Public Schools, 2569 - West Manor Elementary School,69.54
761,Atlanta Public Schools, 2664 - Crim High School,*
761,Atlanta Public Schools, 3051 - Beecher Hills Elementary School,*
603,Bacon County, 0102 - Bacon County Primary School,74.07
603,Bacon County, 0202 - Bacon County Middle School,66.88
603,Bacon County, 0302 - Bacon County High School,61.35
603,Bacon County, 3050 - Bacon County Elementary School,69.04
604,Baker County, 0105 - Baker County High School,81.82
605,Baldwin County, 0199 - Creekside Elementary School,67.67
605,Baldwin County, 0195 - Blandy Hills Elementary School,83.66
605,Baldwin County, 0189 - Baldwin High School,74.8
605,Baldwin County, 0194 - Midway Elementary School,87.72
605,Baldwin County, 0104 - Eagle Ridge Elementary School,*
605,Baldwin County, 0100 - Oak Hill MS,83.89
606,Banks County, 0205 - Banks County Primary School,68.74
606,Banks County, 0199 - Banks County High School,59.86
606,Banks County, 0107 - Banks County Elementary School,68.4
606,Banks County, 0105 - Banks County Middle School,67.04
607,Barrow County, 0289 - Russell Middle School,61.5
607,Barrow County, 0298 - Yargo Elementary School,53.48
607,Barrow County, 1050 - Auburn Elementary School,70.1
607,Barrow County, 3052 - Winder-Barrow High School,51.64
607,Barrow County, 0106 - Haymon-Morris Middle School,58.26
607,Barrow County, 0189 - Kennedy Elementary School,77.01
607,Barrow County, 0193 - Bramlett Elementary School,44.87
607,Barrow County, 0198 - Westside Middle School,64.72
607,Barrow County, 0101 - Apalachee High School,55.42
607,Barrow County, 0105 - County Line Elementary School,72.42
607,Barrow County, 0205 - Bethlehem Elementary School,64.38
607,Barrow County, 0114 - Bear Creek Middle School,64.36
607,Barrow County, 5050 - Statham Elementary School,64.76
607,Barrow County, 0113 - Snodon Preparatory School,71.59
607,Barrow County, 4050 - Holsenbeck Elementary School,65.78
608,Bartow County, 0377 - Hamilton Crossing Elementary School,63.18
608,Bartow County, 0301 - Adairsville Middle School,56.6
608,Bartow County, 0296 - Kingston Elementary School,83.24
608,Bartow County, 0196 - Allatoona Elementary School,81.19
608,Bartow County, 0195 - Cass Middle School,64.29
608,Bartow County, 0190 - Red Top Middle School,72.84
608,Bartow County, 0186 - Mission Road Elementary School,57.11
608,Bartow County, 0177 - Adairsville Elementary School,63.53
608,Bartow County, 0175 - White Elementary School,60.68
608,Bartow County, 0107 - Euharlee Elementary School,57.45
608,Bartow County, 0114 - Cass High School,57.68
608,Bartow County, 0115 - Cloverleaf Elementary,67.71
608,Bartow County, 0198 - Woodland High School,49.77
608,Bartow County, 0106 - Pine Log Elementary,62.72
608,Bartow County, 0396 - Taylorsville Elementary School,60.36
608,Bartow County, 2052 - Emerson Elementary School,76.26
608,Bartow County, 0105 - Adairsville High School,51.86
608,Bartow County, 0104 - Clear Creek Elementary School,64.29
608,Bartow County, 0101 - Woodland Middle School at Euharlee,56.82
609,Ben Hill County, 0196 - Ben Hill County Primary School,85.52
609,Ben Hill County, 0291 - Fitzgerald High School School College and Career Academy,81.34
609,Ben Hill County, 0111 - Ben Hill Elementary School,81.06
609,Ben Hill County, 0296 - Ben Hill County Middle School,79.61
610,Berrien County, 5050 - Berrien Primary School,77.18
610,Berrien County, 0195 - Berrien Elementary School,67.24
610,Berrien County, 0194 - Berrien Middle School,73.33
610,Berrien County, 0106 - Berrien Academy Performance Learning Center,83.56
610,Berrien County, 0101 - Berrien High School,60.03
611,Bibb County, 0109 - Bruce Elementary School,*
611,Bibb County, 0805 - Riley Elementary School,*
611,Bibb County, 0905 - Morgan Elementary School,*
611,Bibb County, 1005 - Brookdale Elementary School,*
611,Bibb County, 1050 - Alexander II Magnet School,52.9
611,Bibb County, 1054 - Bernd Elementary School,92.86
611,Bibb County, 1058 - King - Danforth Elementary School,*
611,Bibb County, 1067 - Porter Elementary School,69.35
611,Bibb County, 1105 - Springdale Elementary School,36.02
611,Bibb County, 1205 - Carter Elementary School,62.82
611,Bibb County, 1305 - Lane Elementary School,89.71
611,Bibb County, 2060 - Hartley Elementary School,*
611,Bibb County, 5067 - Rice Elementary School,*
611,Bibb County, 3060 - Heard Elementary School,61.04
611,Bibb County, 3062 - Jones Elementary School,94.93
611,Bibb County, 3067 - Ingram/Pye Elementary School,*
611,Bibb County, 4052 - Barden Elementary School,*
611,Bibb County, 5050 - Appling Middle School,93.53
611,Bibb County, 5054 - Burghard Elementary School,*
611,Bibb County, 0186 - Central High School,78.83
611,Bibb County, 0198 - Westside High School,85.66
611,Bibb County, 0203 - Vineville Academy,74.95
611,Bibb County, 0204 - Rutland High School,66.03
611,Bibb County, 0205 - Howard Middle School,68.16
611,Bibb County, 0286 - Northeast High School,86.21
611,Bibb County, 0298 - Miller Magnet Middle School,86.27
611,Bibb County, 0303 - William S. Hutchings Career Center,89.15
611,Bibb County, 0305 - Rutland Middle School,72.29
611,Bibb County, 0307 - Price Academy,93.75
611,Bibb County, 0383 - Williams Elementary School,*
611,Bibb County, 0386 - Southwest High School,93.66
611,Bibb County, 0405 - Rosa Taylor Elementary School,80.8
611,Bibb County, 0407 - LakeBridge Behavioral Health System,66.67
611,Bibb County, 0505 - Weaver Middle School,93.37
611,Bibb County, 0605 - Heritage Elementary School,75.26
611,Bibb County, 0705 - Union Elementary School,*
611,Bibb County, 0103 - Skyview Elementary School,63.38
611,Bibb County, 0104 - Burdell Elementary School,*
611,Bibb County, 0105 - Howard High School,61.3
611,Bibb County, 0107 - Bloomfield Middle School,*
611,Bibb County, 0108 - Ballard Hudson Middle School,*
612,Bleckley County, 0112 - Bleckley Middle School,60.04
612,Bleckley County, 1050 - Bleckley County Primary School,65.18
612,Bleckley County, 0197 - Bleckley County Elementary School,61.24
612,Bleckley County, 0105 - Bleckley County High School,53.68
613,Brantley County, 3050 - Nahunta Primary School,71.93
613,Brantley County, 2050 - Hoboken Elementary School,58.7
613,Brantley County, 1050 - Brantley County High School,58.68
613,Brantley County, 0194 - Brantley County Middle School,67.96
613,Brantley County, 0294 - Nahunta Elementary School,68.13
613,Brantley County, 0110 - Atkinson Elementary School,86.06
613,Brantley County, 0101 - Waynesville Primary School,80.88
763,Bremen City, 0110 - Bremen 4th & 5th Grade Academy,26.58
763,Bremen City, 2050 - Jones Elementary School,29.95
763,Bremen City, 0201 - Bremen High School,21.75
763,Bremen City, 0209 - Bremen Middle School,25.41
614,Brooks County, 0393 - North Brooks Elementary School,*
614,Brooks County, 0110 - Brooks County High School,*
614,Brooks County, 0193 - Quitman Elementary School,*
614,Brooks County, 0197 - Brooks County Middle School,*
615,Bryan County, 0502 - Bryan County High School,67.16
615,Bryan County, 0402 - Bryan County Middle School,71.16
615,Bryan County, 0286 - Bryan County Elementary School,71.3
615,Bryan County, 0302 - Richmond Hill Elementary School,31.43
615,Bryan County, 0282 - Lanier Primary School,71.73
615,Bryan County, 0202 - Richmond Hill Primary School,32.25
615,Bryan County, 0199 - Richmond Hill Middle School,32.49
615,Bryan County, 0182 - Richmond Hill High School,23.53
615,Bryan County, 0101 - Dr. George Washington Carver Elementary School,30.57
764,Buford City, 0196 - Buford Elementary School,53.6
764,Buford City, 0191 - Buford High School,35.67
764,Buford City, 0104 - Buford Middle School,46.19
764,Buford City, 0100 - Buford Academy,50.65
616,Bulloch County, 5050 - Mattie Lively Elementary School,71.46
616,Bulloch County, 5054 - Sallie Zetterower Elementary School,57.99
616,Bulloch County, 4052 - Portal Middle/High School,65.42
616,Bulloch County, 3054 - Stilson Elementary School,63.99
616,Bulloch County, 0198 - William James Middle School,51.63
616,Bulloch County, 2050 - Julia P. Bryant Elementary School,52.54
616,Bulloch County, 2054 - Statesboro High School,59.89
616,Bulloch County, 0199 - Langston Chapel Elementary School,88.6
616,Bulloch County, 0200 - Brooklet Elementary School,45.98
616,Bulloch County, 0203 - Southeast Bulloch High School,45.89
616,Bulloch County, 0299 - Langston Chapel Middle School,78.1
616,Bulloch County, 0300 - Southeast Bulloch Middle School,52.88
616,Bulloch County, 0399 - Portal Elementary School,73.14
616,Bulloch County, 0107 - Nevils Elementary School,60.86
616,Bulloch County, 0100 - Mill Creek Elementary School,76.3
617,Burke County, 0288 - Burke County High School,*
617,Burke County, 2056 - Waynesboro Primary School,*
617,Burke County, 0196 - S G A Elementary School,*
617,Burke County, 0188 - Burke County Middle School,*
617,Burke County, 0104 - Blakeney Elementary,*
618,Butts County, 0100 - Henderson Middle School,77.31
618,Butts County, 0190 - Jackson High School,77.34
618,Butts County, 0111 - Jackson Elementary School,77.31
618,Butts County, 0104 - Hampton L. Daughtry Elementary School,77.42
618,Butts County, 0108 - Stark Elementary School,77.36
765,Calhoun City, 0305 - Calhoun Primary School,68.77
765,Calhoun City, 3050 - Calhoun High School,53.26
765,Calhoun City, 0405 - Calhoun Elementary School,63.68
765,Calhoun City, 0205 - Calhoun Middle School,60.52
619,Calhoun County, 0113 - Calhoun County High School,*
619,Calhoun County, 0179 - Calhoun County Elementary School,94.79
619,Calhoun County, 0213 - Calhoun County Middle School,87.01
620,Camden County, 0193 - Kingsland Elementary School,60.05
620,Camden County, 0192 - Woodbine Elementary School,66.2
620,Camden County, 0495 - Mary Lee Clark Elementary School,41.91
620,Camden County, 0295 - Camden County High School,43.49
620,Camden County, 0100 - Mamie Lou Gross Elementary School,66.59
620,Camden County, 0105 - Saint Marys Middle School,48.85
620,Camden County, 0187 - Crooked River Elementary School,56.4
620,Camden County, 0195 - David L Rainer Elementary School,63.38
620,Camden County, 0197 - Sugarmill Elementary,44.64
620,Camden County, 0182 - Camden Middle School,58.06
620,Camden County, 0110 - Saint Marys Elementary School,59.56
620,Camden County, 0189 - Matilda Harris Elementary School,40.52
621,Candler County, 0101 - Metter High School ,67.2
621,Candler County, 0102 - Metter Middle School,71.01
621,Candler County, 0202 - Metter Intermediate School,74.5
621,Candler County, 0302 - Metter Elementary School,79.94
622,Carroll County, 2050 - Bowdon Elementary School,73.43
622,Carroll County, 1054 - Temple Elementary School,81.24
622,Carroll County, 0705 - Villa Rica Elementary School,79.66
622,Carroll County, 0605 - Glanton-Hindsman Elementary,70.29
622,Carroll County, 0477 - Whitesburg Elementary School,65.58
622,Carroll County, 0405 - Ithica Elementary ,63.62
622,Carroll County, 0189 - Temple High School,63.05
622,Carroll County, 0305 - Villa Rica Middle,73.05
622,Carroll County, 0198 - Bay Springs Middle School,64.59
622,Carroll County, 0208 - Mt. Zion Middle School ,76.15
622,Carroll County, 0212 - Mt. Zion High School,71.36
622,Carroll County, 0115 - Providence Elementary School,62.53
622,Carroll County, 0112 - KidsPeace,*
622,Carroll County, 0377 - Roopville Elementary School,58.86
622,Carroll County, 0177 - Central Middle School,65.88
622,Carroll County, 0176 - Mount Zion Elementary School,79.07
622,Carroll County, 0102 - Temple Middle School,71.67
622,Carroll County, 0101 - Bowdon Middle School,67.31
622,Carroll County, 0100 - Sharp Creek Elementary School,79.89
622,Carroll County, 5054 - Villa Rica High School,59.88
622,Carroll County, 5052 - Sand Hill Elementary School,66.62
622,Carroll County, 2052 - Central High School,58.57
622,Carroll County, 3050 - Bowdon High School,58.14
622,Carroll County, 5050 - Central Elementary School,58.82
766,Carrollton City, 0193 - Carrollton Elementary School,65.2
766,Carrollton City, 1050 - Carrollton High School,48.77
766,Carrollton City, 1550 - Carrollton Middle School,57.47
766,Carrollton City, 0106 - Carrollton Upper Elementary,56.29
767,Cartersville City, 0277 - Cartersville Middle School,56.38
767,Cartersville City, 0177 - Cartersville Primary School,68.27
767,Cartersville City, 0191 - Cartersville Elementary School,59.4
767,Cartersville City, 2050 - Cartersville High School,43.68
623,Catoosa County, 3052 - Ringgold Elementary School,50.53
623,Catoosa County, 0109 - Heritage High School,30.71
623,Catoosa County, 4052 - Ringgold High School,44.22
623,Catoosa County, 5050 - Graysville Elementary School,48.95
623,Catoosa County, 5052 - Ringgold Middle School,56.06
623,Catoosa County, 0100 - Ringgold Primary School,55.56
623,Catoosa County, 0102 - Battlefield Primary,61.52
623,Catoosa County, 0103 - Battlefield Elementary School,47.7
623,Catoosa County, 0105 - Woodstation Elementary School,43
623,Catoosa County, 0185 - Tiger Creek Elementary School,67.61
623,Catoosa County, 0205 - Heritage Middle School,37.91
623,Catoosa County, 1050 - Boynton Elementary School,36.41
623,Catoosa County, 1052 - Lakeview-Fort Oglethorpe High School,57.16
623,Catoosa County, 1054 - West Side Elementary School,76.51
623,Catoosa County, 2552 - Lakeview Middle School,67.64
623,Catoosa County, 3050 - Cloud Springs Elementary School,76.12
624,Charlton County, 0199 - Folkston Elementary School,84.21
624,Charlton County, 0287 - Charlton County High School,58.04
624,Charlton County, 4050 - St. George Elementary School,76.67
624,Charlton County, 0112 - Bethune Middle School,75.86
626,Chattahoochee County, 0106 - Chattahoochee County Middle School,78.62
626,Chattahoochee County, 0206 - Chattahoochee County High School,57.87
626,Chattahoochee County, 0101 - Chattahoochee County Education Center,74.73
627,Chattooga County, 0106 - Leroy Massey Elementary School,88.23
627,Chattooga County, 1050 - Chattooga High School,76.07
627,Chattooga County, 2052 - Summerville Middle School,90.59
627,Chattooga County, 3050 - Menlo Elementary School,66.67
627,Chattooga County, 0111 - Chattooga Academy,47.92
627,Chattooga County, 2050 - Lyerly Elementary School,75.82
628,Cherokee County, 0199 - Holly Springs Elementary School,44.46
628,Cherokee County, 0203 - Liberty Elementary School,22.73
628,Cherokee County, 0205 - Freedom Middle School,16.68
628,Cherokee County, 0287 - Teasley Middle School,56.82
628,Cherokee County, 1052 - Clayton Elementary School,44.48
628,Cherokee County, 2054 - Oak Grove Elementary School,64.87
628,Cherokee County, 3052 - Hickory Flat Elementary School,16.18
628,Cherokee County, 5050 - Cherokee High School,39.6
628,Cherokee County, 5052 - Macedonia Elementary School,13.85
628,Cherokee County, 0397 - Arnold Mill Elementary School,24.46
628,Cherokee County, 0505 - Free Home Elementary School,30.03
628,Cherokee County, 0297 - Woodstock Middle School,39.62
628,Cherokee County, 0305 - Creekland Middle School,17.69
628,Cherokee County, 0198 - R. M. Moore Elementary School,51.05
628,Cherokee County, 0197 - Woodstock High School,25.7
628,Cherokee County, 0196 - Bascomb Elementary School,9.72
628,Cherokee County, 0193 - Sixes Elementary School,12.76
628,Cherokee County, 0191 - Sequoyah High School,23.24
628,Cherokee County, 0313 - Clark Creek Elementary School,53.85
628,Cherokee County, 0213 - Ball Ground Elementary School,40.52
628,Cherokee County, 0115 - River Ridge High School,24.69
628,Cherokee County, 0116 - Indian Knoll Elementary,34
628,Cherokee County, 0509 - J. Knox Elementary,28.72
628,Cherokee County, 0409 - Canton Elementary,91.64
628,Cherokee County, 0190 - Mountain Road Elementary School,20.38
628,Cherokee County, 0113 - Mill Creek Middle School,29.77
628,Cherokee County, 0309 - Little River Elem.,26.64
628,Cherokee County, 0189 - Boston Elementary School,39.5
628,Cherokee County, 0187 - Dean Rusk Middle School,28.26
628,Cherokee County, 0101 - Carmel Elementary School,43.66
628,Cherokee County, 0104 - Woodstock Elementary School,46.71
628,Cherokee County, 0105 - William G. Hasty  Sr. Elementary School,82.12
628,Cherokee County, 0106 - Creekview High School,16.2
628,Cherokee County, 0108 - Avery Elementary School,19.68
628,Cherokee County, 0176 - Etowah High School,24.1
628,Cherokee County, 0181 - E. T. Booth Middle School,32.5
628,Cherokee County, 0182 - Johnston Elementary School,40.29
769,Chickamauga City, 0111 - Gordon Lee Middle School,28.53
769,Chickamauga City, 0211 - Gordon Lee High School,18.53
769,Chickamauga City, 1050 - Chickamauga Elementary School,26.04
773,City Schools of Decatur, 0212 - Glennwood Elementary School,19.03
773,City Schools of Decatur, 0112 - Fifth Avenue Upper Elementary School,15.67
773,City Schools of Decatur, 0105 - Oakhurst Elementary School,14.03
773,City Schools of Decatur, 3050 - Decatur High School,20.61
773,City Schools of Decatur, 0505 - Clairemont Elementary School,16.62
773,City Schools of Decatur, 1552 - Beacon Hill Middle School,23.37
773,City Schools of Decatur, 0405 - Winnona Park Elementary School,14.14
629,Clarke County, 3056 - Barrow Elementary School,53.09
629,Clarke County, 3058 - Fowler Drive Elementary School,*
629,Clarke County, 4060 - Oglethorpe Avenue Elementary School,92.53
629,Clarke County, 5056 - Johnnie Lay Burks Elementary School,62.33
629,Clarke County, 5058 - Hilsman Middle School,80.42
629,Clarke County, 5556 - Clarke Central High School,77.38
629,Clarke County, 0112 - Judia Jackson Harris Elementary,*
629,Clarke County, 0102 - Cedar Shoals High School,80.07
629,Clarke County, 0104 - Classic City High School,59.69
629,Clarke County, 0105 - Bettye Henderson Holston Elementary School,*
629,Clarke County, 0178 - Timothy Elementary School,57.33
629,Clarke County, 0191 - Cleveland Road Elementary School,92.57
629,Clarke County, 0196 - Coile Middle School,*
629,Clarke County, 0205 - Gaines Elementary School,*
629,Clarke County, 0291 - Howard B. Stroud Elementary School,*
629,Clarke County, 0296 - Burney-Harris-Lyons Middle School,92.95
629,Clarke County, 0391 - Whit Davis Road Elementary School,68.64
629,Clarke County, 1058 - Clarke Middle School,72.48
629,Clarke County, 1062 - Whitehead Road Elementary School,89.67
629,Clarke County, 2056 - Barnett Shoals Elementary School,58.13
629,Clarke County, 2062 - Winterville Elementary School,86.79
630,Clay County, 0114 - Clay County Academies,*
630,Clay County, 0204 - Clay County Elementary,*
630,Clay County, 0104 - Clay County Middle School,*
631,Clayton County, 0176 - Mount Zion Elementary School,*
631,Clayton County, 0177 - Adamson Middle School,*
631,Clayton County, 0181 - Pointe South Elementary School,*
631,Clayton County, 0190 - Lovejoy High School,*
631,Clayton County, 0191 - Lovejoy Middle School,*
631,Clayton County, 0195 - River's Edge Elementary School,*
631,Clayton County, 0197 - Kendrick Middle School,*
631,Clayton County, 0199 - Hawthorne Elementary School,*
631,Clayton County, 0200 - Roberta T. Smith Elementary School,*
631,Clayton County, 0100 - M. D. Roberts Middle School,*
631,Clayton County, 0103 - Callaway Elementary School,*
631,Clayton County, 0104 - Mundy's Mill High School,*
631,Clayton County, 0105 - Thurgood Marshall Elementary School,*
631,Clayton County, 0106 - Jonesboro Middle School,*
631,Clayton County, 0107 - Sequoyah Middle School,*
631,Clayton County, 0115 - Charles R. Drew High School,*
631,Clayton County, 0114 - Elite Scholars Academy School,*
631,Clayton County, 0117 - Morrow Middle School,*
631,Clayton County, 0109 - Mount Zion Primary,*
631,Clayton County, 0116 - Eddie White Middle School,*
631,Clayton County, 0207 - Rex Mill Middle School,*
631,Clayton County, 0276 - Oliver Elementary School,*
