norm_name_stu,System name,N Tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N Tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N Tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N Tested Science,Science: Mean Scale Score,Science: % Did not meet the standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N Tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Did not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard,grade,N tested Reading,N tested ELA,N tested Math,N tested Science,Science: % Does not meet standard,N tested Social Studies,Social Studies: % Does not meet the standard,norm_name_aps,best_match,es.giftedEligibility,activeEnrollment.eip,activeEnrollment.specialEdStatus,posElig.eligibility,gifted_flag,lunch_flag
joseph humphries,ATLANTA PUBLIC SCHOO,,813.69,20.4,68.5,11.1,79.6,,824.98,16.7,53.7,29.6,83.3,,807.67,48.1,37.0,14.8,51.9,,815.72,,48.1,20.4,68.5,,806.81,,55.6,7.4,63.0,5,54.0,54.0,54.0,54.0,31.5,54.0,37.0,humphries ele,joseph humphries,9,N,N,F,0,1
f lstanton,ATLANTA PUBLIC SCHOO,,807.09,33.3,66.7,0.0,66.7,,817.81,24.6,63.2,12.3,75.4,,793.96,54.4,40.4,5.3,45.6,,795.89,,42.1,5.3,47.4,,792.96,,35.1,0.0,35.1,5,57.0,57.0,57.0,57.0,52.6,57.0,64.9,f l stanton,f lstanton,9,N,N,F,0,1
je brown middle,ATLANTA PUBLIC SCHOO,,828.19,17.2,52.2,30.5,82.8,,828.91,9.9,71.9,18.2,90.1,,813.11,35.0,53.2,11.8,65.0,,804.3,,46.8,6.4,53.2,,813.07,,37.4,20.7,58.1,6,203.0,203.0,203.0,203.0,46.8,203.0,41.9,brown middle,je brown middle,9,N,N,F,0,1
young middle saturday,ATLANTA PUBLIC SCHOO,,820.87,16.3,66.5,17.2,83.7,,823.8,15.8,68.0,16.3,84.2,,802.03,49.8,46.3,3.9,50.2,,794.34,,36.5,1.0,37.4,,785.0,,25.6,2.5,28.1,6,203.0,203.0,203.0,203.0,62.6,203.0,71.9,long middle s,young middle saturday,9,N,N,F,0,1
ralph bunche middle,ATLANTA PUBLIC SCHOO,,828.23,11.7,62.2,26.1,88.3,,837.36,6.0,59.0,35.0,94.0,,816.7,24.9,61.2,13.9,75.1,,817.9,,54.4,16.3,70.7,,828.48,,39.9,33.2,73.1,6,283.0,283.0,281.0,283.0,29.3,283.0,26.9,bunche middle,ralph bunche middle,9,N,N,F,0,1
sylvan middle,ATLANTA PUBLIC SCHOO,,821.73,15.8,71.9,12.3,84.2,,828.47,11.6,69.2,19.2,88.4,,805.22,44.5,50.7,4.8,55.5,,811.26,,61.6,6.2,67.8,,813.71,,38.6,22.8,61.4,6,146.0,146.0,146.0,146.0,32.2,145.0,38.6,sylvan hills,sylvan middle,9,N,N,F,0,1
best middle,ATLANTA PUBLIC SCHOO,,821.78,17.6,67.1,15.3,82.4,,823.79,21.2,65.9,12.9,78.8,,808.36,38.8,51.8,9.4,61.2,,799.22,,50.6,1.2,51.8,,780.34,,21.2,0.0,21.2,6,85.0,85.0,85.0,85.0,48.2,85.0,78.8,turner middle,best middle,9,N,N,F,0,1
charles r drew charter,ATLANTA PUBLIC SCHOO,,833.15,7.4,67.0,25.5,92.6,,831.63,3.2,80.9,16.0,96.8,,819.22,18.1,69.1,12.8,81.9,,808.15,,56.4,7.4,63.8,,852.23,,39.4,51.1,90.4,6,94.0,94.0,94.0,94.0,36.2,94.0,9.6,charles r dre,charles r drew charter,9,N,N,F,0,1
atlanta charter middle,ATLANTA PUBLIC SCHOO,,839.92,5.6,51.4,43.1,94.4,,839.93,1.4,65.3,33.3,98.6,,819.85,23.6,59.7,16.7,76.4,,819.64,,63.9,11.1,75.0,,812.32,,44.4,16.7,61.1,6,72.0,72.0,72.0,72.0,25.0,72.0,38.9,atlanta chart,atlanta charter middle,9,N,N,S,0,0
hillside,ATLANTA PUBLIC SCHOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.0,5.0,5.0,4.0,,5.0,,hillside cona,hillside,9,N,Y,S,0,0
young middle saturday,ATLANTA PUBLIC SCHOO,,830.31,13.5,53.0,33.5,86.5,,834.36,8.7,63.4,27.9,91.3,,803.15,49.2,45.9,4.9,50.8,,812.34,,54.6,9.2,63.8,,800.19,,29.7,13.5,43.2,6,185.0,183.0,185.0,185.0,36.2,185.0,56.8,young middle,young middle saturday,9,N,N,F,0,1
parks middle,ATLANTA PUBLIC SCHOO,,819.03,25.1,57.1,17.8,74.9,,820.33,17.3,71.2,11.5,82.7,,800.35,52.9,42.4,4.7,47.1,,795.62,,39.3,2.1,41.4,,784.98,,24.2,3.2,27.4,6,191.0,191.0,191.0,191.0,58.6,190.0,72.6,price middle,parks middle,9,N,N,F,0,1
young middle saturday,ATLANTA PUBLIC SCHOO,,818.39,20.8,63.4,15.7,79.2,,822.6,16.7,70.2,13.0,83.3,,801.47,48.1,48.1,3.7,51.9,,796.94,,37.7,2.3,40.0,,801.93,,32.6,10.7,43.3,6,216.0,215.0,216.0,215.0,60.0,215.0,56.7,king middle s,young middle saturday,9,N,N,F,0,1
forrest hills,ATLANTA PUBLIC SCHOO,,809.78,30.0,62.0,8.0,70.0,,813.2,24.0,76.0,0.0,76.0,,791.62,70.0,30.0,0.0,30.0,,784.12,,18.0,0.0,18.0,,767.44,,10.0,0.0,10.0,6,50.0,50.0,50.0,50.0,82.0,50.0,90.0,aps forrest h,forrest hills,9,N,N,F,0,1
university community,ATLANTA PUBLIC SCHOO,,815.4,24.0,66.0,10.0,76.0,,817.42,20.0,76.0,4.0,80.0,,800.74,52.0,44.0,4.0,48.0,,788.86,,24.0,0.0,24.0,,769.1,,8.0,0.0,8.0,6,50.0,50.0,50.0,50.0,76.0,50.0,92.0,university co,university community,9,N,N,F,0,1
harperarcher middle,ATLANTA PUBLIC SCHOO,,815.0,24.5,65.0,10.5,75.5,,816.83,18.6,75.9,5.5,81.4,,794.76,66.7,31.5,1.8,33.3,,790.3,,28.2,0.5,28.6,,776.73,,15.9,1.4,17.3,6,220.0,220.0,219.0,220.0,71.4,220.0,82.7,harper archer,harperarcher middle,9,N,N,F,0,1
kipp ways,ATLANTA PUBLIC SCHOO,,839.77,2.2,61.5,36.3,97.8,,842.07,2.2,59.3,38.5,97.8,,820.07,20.9,65.9,13.2,79.1,,825.7,,69.2,18.7,87.9,,851.84,,36.3,50.5,86.8,6,91.0,91.0,91.0,91.0,12.1,91.0,13.2,kipp west atl,kipp ways,9,N,N,F,0,1
imagine wesley international,ATLANTA PUBLIC SCHOO,,838.4,2.0,66.0,32.0,98.0,,837.56,4.0,68.0,28.0,96.0,,814.28,24.0,68.0,8.0,76.0,,802.52,,52.0,2.0,54.0,,811.92,,46.0,20.0,66.0,6,50.0,50.0,50.0,50.0,46.0,50.0,34.0,imagine wesle,imagine wesley international,9,N,N,F,0,1
samuel inman middle,ATLANTA PUBLIC SCHOO,,851.87,3.5,33.9,62.6,96.5,,849.68,3.4,44.5,52.1,96.6,,843.84,12.8,42.8,44.5,87.2,,845.31,,43.4,46.6,90.0,,862.75,,27.9,56.9,84.8,6,289.0,290.0,290.0,290.0,10.0,290.0,15.2,inman middle,samuel inman middle,9,N,N,S,0,0
best middle,ATLANTA PUBLIC SCHOO,,839.58,7.3,50.8,42.0,92.8,,836.09,7.5,61.3,31.3,92.5,,830.31,22.0,46.8,31.3,78.0,,823.06,,49.0,23.3,72.3,,841.95,,33.3,42.1,75.4,6,400.0,400.0,400.0,400.0,27.8,399.0,24.6,sutton middle,best middle,9,N,N,F,0,1
coan middle saturday,ATLANTA PUBLIC SCHOO,,823.98,11.1,71.8,17.1,88.9,,823.61,11.1,77.8,11.1,88.9,,803.42,41.9,56.4,1.7,58.1,,794.62,,35.0,0.0,35.0,,782.66,,22.4,0.9,23.3,6,117.0,117.0,117.0,117.0,65.0,116.0,76.7,coan middle s,coan middle saturday,9,N,N,F,0,1
john f kennedy middle,ATLANTA PUBLIC SCHOO,,826.02,14.3,64.8,21.0,85.7,,826.48,7.6,78.1,14.3,92.4,,809.25,44.8,44.8,10.5,55.2,,792.46,,27.6,1.0,28.6,,782.64,,20.0,2.9,22.9,6,105.0,105.0,105.0,105.0,71.4,105.0,77.1,kennedy middl,john f kennedy middle,9,N,N,F,0,1
parks middle,ATLANTA PUBLIC SCHOO,,824.91,15.5,64.9,19.6,84.5,,831.98,4.7,71.6,23.6,95.3,,807.82,43.9,45.9,10.1,56.1,,797.45,,42.6,1.4,43.9,,792.16,,33.1,4.1,37.2,6,148.0,148.0,148.0,148.0,56.1,148.0,62.8,parks middle,parks middle,9,N,N,F,0,1
je brown middle,ATLANTA PUBLIC SCHOO,,820.45,14.5,75.4,10.1,85.5,,830.87,6.8,65.2,28.0,93.2,,825.65,17.5,59.7,22.8,82.5,,823.3,,65.7,15.0,80.7,,820.52,,56.0,18.8,74.9,7,207.0,207.0,206.0,207.0,19.3,207.0,25.1,brown middle,je brown middle,9,N,N,F,0,1
young middle saturday,ATLANTA PUBLIC SCHOO,,815.94,19.5,74.0,6.5,80.5,,827.37,14.8,62.7,22.5,85.2,,820.24,30.2,52.1,17.8,69.8,,827.4,,52.7,27.2,79.9,,802.27,,43.8,8.9,52.7,7,169.0,169.0,169.0,169.0,20.1,169.0,47.3,long middle s,young middle saturday,9,N,N,F,0,1
ralph bunche middle,ATLANTA PUBLIC SCHOO,,818.21,14.6,75.2,10.2,85.4,,832.34,10.9,57.8,31.3,89.1,,829.85,16.0,53.4,30.6,84.0,,816.4,,55.8,13.6,69.4,,802.71,,39.1,9.2,48.3,7,294.0,294.0,294.0,294.0,30.6,294.0,51.7,bunche middle,ralph bunche middle,9,N,N,F,0,1
sylvan middle,ATLANTA PUBLIC SCHOO,,817.7,13.9,76.2,9.8,86.1,,828.51,9.8,66.4,23.8,90.2,,817.64,27.0,57.4,15.6,73.0,,811.81,,43.4,15.6,59.0,,798.66,,29.5,10.7,40.2,7,122.0,122.0,122.0,122.0,41.0,122.0,59.8,sylvan hills,sylvan middle,9,N,N,F,0,1
best middle,ATLANTA PUBLIC SCHOO,,813.28,23.5,69.1,7.4,76.5,,823.25,13.6,70.4,16.0,86.4,,816.63,25.9,60.5,13.6,74.1,,811.33,,61.7,7.4,69.1,,785.59,,28.4,1.2,29.6,7,81.0,81.0,81.0,81.0,30.9,81.0,70.4,turner middle,best middle,9,N,N,F,0,1
charles r drew charter,ATLANTA PUBLIC SCHOO,,828.73,7.1,74.5,18.4,92.9,,838.19,2.0,62.2,35.7,98.0,,835.14,2.0,71.4,26.5,98.0,,838.22,,50.0,38.8,88.8,,834.91,,51.0,34.7,85.7,7,98.0,98.0,98.0,98.0,11.2,98.0,14.3,charles r dre,charles r drew charter,9,N,N,F,0,1
atlanta charter middle,ATLANTA PUBLIC SCHOO,,836.14,4.1,65.3,30.6,95.9,,837.9,4.1,65.3,30.6,95.9,,835.06,8.2,59.2,32.7,91.8,,831.08,,61.2,22.4,83.7,,810.82,,69.4,6.1,75.5,7,49.0,49.0,49.0,49.0,16.3,49.0,24.5,atlanta chart,atlanta charter middle,9,N,N,S,0,0
hillside,ATLANTA PUBLIC SCHOO,,805.0,50.0,40.0,10.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,7,10.0,9.0,9.0,9.0,,8.0,,hillside cona,hillside,9,N,Y,S,0,0
young middle saturday,ATLANTA PUBLIC SCHOO,,822.92,14.7,65.4,19.8,85.3,,835.14,9.2,56.2,34.6,90.8,,824.77,20.8,54.6,24.5,79.2,,827.41,,47.9,27.6,75.6,,816.62,,31.3,27.2,58.5,7,217.0,217.0,216.0,217.0,24.4,217.0,41.5,young middle,young middle saturday,9,N,N,F,0,1
parks middle,ATLANTA PUBLIC SCHOO,,810.39,30.3,64.2,5.5,69.7,,823.28,20.6,60.0,19.4,79.4,,810.3,37.8,50.0,12.2,62.2,,820.36,,50.9,20.9,71.8,,786.15,,25.8,4.3,30.1,7,165.0,165.0,164.0,163.0,28.2,163.0,69.9,price middle,parks middle,9,N,N,F,0,1
young middle saturday,ATLANTA PUBLIC SCHOO,,810.66,23.8,72.5,3.7,76.2,,822.07,14.3,69.3,16.4,85.7,,807.63,41.6,50.5,7.9,58.4,,801.29,,39.5,6.3,45.8,,787.69,,30.2,2.1,32.3,7,189.0,189.0,190.0,190.0,54.2,189.0,67.7,king middle s,young middle saturday,9,N,N,F,0,1
forrest hills,ATLANTA PUBLIC SCHOO,,802.74,41.7,57.1,1.2,58.3,,808.82,29.8,66.7,3.6,70.2,,792.9,67.5,31.3,1.2,32.5,,787.83,,25.6,1.2,26.8,,772.94,,17.1,0.0,17.1,7,84.0,84.0,83.0,82.0,73.2,82.0,82.9,aps forrest h,forrest hills,9,N,N,F,0,1
university community,ATLANTA PUBLIC SCHOO,,816.72,14.8,79.6,5.6,85.2,,826.65,3.7,81.5,14.8,96.3,,815.22,24.1,64.8,11.1,75.9,,804.39,,50.0,3.7,53.7,,789.02,,25.9,3.7,29.6,7,54.0,54.0,54.0,54.0,46.3,54.0,70.4,university co,university community,9,N,N,F,0,1
harperarcher middle,ATLANTA PUBLIC SCHOO,,811.97,27.0,64.9,8.1,73.0,,819.52,19.5,67.0,13.5,80.5,,810.08,38.9,51.4,9.7,61.1,,805.46,,45.9,8.1,54.1,,787.14,,28.1,3.8,31.9,7,185.0,185.0,185.0,185.0,45.9,185.0,68.1,harper archer,harperarcher middle,9,N,N,F,0,1
kipp ways,ATLANTA PUBLIC SCHOO,,833.4,2.9,72.9,24.3,97.1,,850.31,0.0,37.1,62.9,100.0,,849.04,1.4,50.0,48.6,98.6,,841.73,,57.1,38.6,95.7,,856.61,,40.0,58.6,98.6,7,70.0,70.0,70.0,70.0,4.3,70.0,1.4,kipp west atl,kipp ways,9,N,N,F,0,1
imagine wesley international,ATLANTA PUBLIC SCHOO,,820.58,15.2,69.7,15.2,84.8,,828.85,12.1,57.6,30.3,87.9,,814.7,33.3,57.6,9.1,66.7,,824.45,,45.5,27.3,72.7,,810.67,,45.5,18.2,63.6,7,33.0,33.0,33.0,33.0,27.3,33.0,36.4,imagine wesle,imagine wesley international,9,N,N,F,0,1
samuel inman middle,ATLANTA PUBLIC SCHOO,,842.9,6.6,48.1,45.3,93.4,,855.23,3.1,32.2,64.7,96.9,,855.75,7.0,38.8,54.3,93.0,,859.09,,32.9,62.4,95.3,,863.31,,28.7,61.6,90.3,7,258.0,258.0,258.0,258.0,4.7,258.0,9.7,inman middle,samuel inman middle,9,N,N,S,0,0
best middle,ATLANTA PUBLIC SCHOO,,834.16,10.9,54.1,35.0,89.1,,840.63,9.1,46.3,44.7,90.9,,842.37,14.1,45.3,40.6,85.9,,844.09,,40.9,45.9,86.9,,838.02,,36.6,39.1,75.6,7,320.0,320.0,320.0,320.0,13.1,320.0,24.4,sutton middle,best middle,9,N,N,F,0,1
coan middle saturday,ATLANTA PUBLIC SCHOO,,813.07,25.7,65.1,9.2,74.3,,824.48,16.5,64.2,19.3,83.5,,815.74,31.2,56.9,11.9,68.8,,808.84,,43.1,11.9,55.0,,797.65,,39.4,5.5,45.0,7,109.0,109.0,109.0,109.0,45.0,109.0,55.0,coan middle s,coan middle saturday,9,N,N,F,0,1
john f kennedy middle,ATLANTA PUBLIC SCHOO,,812.8,22.4,73.8,3.7,77.6,,826.29,10.3,71.0,18.7,89.7,,818.79,24.3,62.6,13.1,75.7,,807.82,,45.8,8.4,54.2,,804.76,,41.1,8.4,49.5,7,107.0,107.0,107.0,107.0,45.8,107.0,50.5,kennedy middl,john f kennedy middle,9,N,N,F,0,1
parks middle,ATLANTA PUBLIC SCHOO,,814.95,17.4,78.0,4.5,82.6,,826.3,11.4,70.5,18.2,88.6,,815.78,28.0,60.6,11.4,72.0,,798.8,,40.9,2.3,43.2,,796.99,,40.2,4.5,44.7,7,132.0,132.0,132.0,132.0,56.8,132.0,55.3,parks middle,parks middle,9,N,N,F,0,1
je brown middle,ATLANTA PUBLIC SCHOO,,824.78,7.5,80.6,11.9,92.5,,830.28,9.5,66.8,23.6,90.5,,803.4,44.2,47.7,8.0,55.8,,798.96,,45.2,2.0,47.2,,798.44,,39.1,6.6,45.7,8,201.0,199.0,199.0,199.0,52.8,197.0,54.3,brown middle,je brown middle,9,N,N,F,0,1
heritage,ATLANTA PUBLIC SCHOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2.0,1.0,1.0,1.0,,1.0,,the bridge,heritage,9,N,N,F,0,1
young middle saturday,ATLANTA PUBLIC SCHOO,,822.12,9.6,80.3,10.1,90.4,,828.32,11.7,66.5,21.8,88.3,,805.25,44.7,44.7,10.6,55.3,,796.71,,38.8,2.1,41.0,,798.62,,47.3,3.7,51.1,8,188.0,188.0,188.0,188.0,59.0,188.0,48.9,long middle s,young middle saturday,9,N,N,F,0,1
ralph bunche middle,ATLANTA PUBLIC SCHOO,,823.3,10.8,79.7,9.4,89.2,,835.38,9.4,60.1,30.4,90.6,,815.12,26.1,60.6,13.2,73.9,,796.98,,36.4,4.9,41.3,,807.48,,43.6,13.1,56.7,8,286.0,286.0,287.0,286.0,58.7,282.0,43.3,bunche middle,ralph bunche middle,9,N,N,F,0,1
sylvan middle,ATLANTA PUBLIC SCHOO,,823.74,9.6,80.1,10.3,90.4,,830.85,10.9,63.9,25.2,89.1,,804.08,39.0,56.8,4.1,61.0,,805.59,,45.9,8.2,54.1,,794.49,,39.7,4.8,44.5,8,146.0,147.0,146.0,146.0,45.9,146.0,55.5,sylvan hills,sylvan middle,9,N,N,F,0,1
best middle,ATLANTA PUBLIC SCHOO,,824.76,11.3,72.5,16.3,88.8,,823.48,13.8,72.5,13.8,86.3,,800.39,40.0,57.5,2.5,60.0,,794.45,,41.3,0.0,41.3,,790.36,,37.5,0.0,37.5,8,80.0,80.0,80.0,80.0,58.8,80.0,62.5,turner middle,best middle,9,N,N,F,0,1
charles r drew charter,ATLANTA PUBLIC SCHOO,,837.76,3.4,59.6,37.1,96.6,,843.79,3.4,53.9,42.7,96.6,,836.24,14.6,48.3,37.1,85.4,,824.93,,57.3,21.3,78.7,,822.61,,61.8,19.1,80.9,8,89.0,89.0,89.0,89.0,21.3,89.0,19.1,charles r dre,charles r drew charter,9,N,N,F,0,1
atlanta charter middle,ATLANTA PUBLIC SCHOO,,833.59,2.7,67.6,29.7,97.3,,828.3,5.4,64.9,29.7,94.6,,810.73,37.8,48.6,13.5,62.2,,802.92,,54.1,2.7,56.8,,794.89,,45.9,0.0,45.9,8,37.0,37.0,37.0,37.0,43.2,37.0,54.1,atlanta chart,atlanta charter middle,9,N,N,S,0,0
hillside,ATLANTA PUBLIC SCHOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.0,8.0,8.0,7.0,,8.0,,hillside cona,hillside,9,N,Y,S,0,0
young middle saturday,ATLANTA PUBLIC SCHOO,,829.87,8.0,72.0,20.0,92.0,,834.82,8.5,60.2,31.3,91.5,,808.94,33.8,53.2,12.9,66.2,,797.88,,44.3,2.5,46.8,,797.21,,37.5,8.5,46.0,8,200.0,201.0,201.0,201.0,53.2,200.0,54.0,young middle,young middle saturday,9,N,N,F,0,1
parks middle,ATLANTA PUBLIC SCHOO,,819.16,14.2,80.4,5.4,85.8,,824.55,19.1,61.8,19.1,80.9,,799.52,50.7,42.4,6.9,49.3,,800.93,,43.6,5.4,49.0,,790.52,,35.3,2.9,38.2,8,204.0,204.0,203.0,204.0,51.0,204.0,61.8,price middle,parks middle,9,N,N,F,0,1
young middle saturday,ATLANTA PUBLIC SCHOO,,818.42,15.6,73.9,10.6,84.4,,823.92,16.1,63.9,20.0,83.9,,799.44,45.3,50.3,4.5,54.7,,808.51,,51.7,8.4,60.1,,821.94,,52.0,25.4,77.4,8,180.0,180.0,179.0,178.0,39.9,177.0,22.6,king middle s,young middle saturday,9,N,N,F,0,1
forrest hills,ATLANTA PUBLIC SCHOO,,811.5,23.4,72.7,3.9,76.6,,810.46,25.2,69.3,5.5,74.8,,779.16,81.3,18.0,0.8,18.8,,780.92,,17.5,0.0,17.5,,774.59,,19.8,0.0,19.8,8,128.0,127.0,128.0,126.0,82.5,126.0,80.2,aps forrest h,forrest hills,9,N,N,F,0,1
university community,ATLANTA PUBLIC SCHOO,,834.05,4.9,65.9,29.3,95.1,,834.78,4.9,68.3,26.8,95.1,,806.02,43.9,51.2,4.9,56.1,,798.05,,46.3,2.4,48.8,,798.05,,46.3,0.0,46.3,8,41.0,41.0,41.0,41.0,51.2,41.0,53.7,university co,university community,9,N,N,F,0,1
harperarcher middle,ATLANTA PUBLIC SCHOO,,816.42,20.4,73.3,6.2,79.6,,819.64,18.7,68.0,13.3,81.3,,800.09,42.7,52.9,4.4,57.3,,790.54,,33.0,1.8,34.8,,792.79,,38.4,3.6,42.0,8,225.0,225.0,225.0,224.0,65.2,224.0,58.0,harper archer,harperarcher middle,9,N,N,F,0,1
kipp ways,ATLANTA PUBLIC SCHOO,,837.24,3.2,67.7,29.0,96.8,,847.23,3.2,53.2,43.5,96.8,,841.87,1.6,59.7,38.7,98.4,,826.82,,67.7,21.0,88.7,,836.48,,50.0,40.3,90.3,8,62.0,62.0,62.0,62.0,11.3,62.0,9.7,kipp west atl,kipp ways,9,N,N,F,0,1
imagine wesley international,ATLANTA PUBLIC SCHOO,,834.15,3.8,73.1,23.1,96.2,,841.65,3.8,57.7,38.5,96.2,,822.62,15.4,57.7,26.9,84.6,,811.81,,69.2,3.8,73.1,,812.5,,69.2,7.7,76.9,8,26.0,26.0,26.0,26.0,26.9,26.0,23.1,imagine wesle,imagine wesley international,9,N,N,F,0,1
samuel inman middle,ATLANTA PUBLIC SCHOO,,849.92,0.0,48.9,51.1,100.0,,864.14,1.3,36.3,62.3,98.7,,846.83,11.2,44.6,44.2,88.8,,832.34,,52.7,30.4,83.0,,857.56,,37.2,57.4,94.6,8,223.0,223.0,224.0,224.0,17.0,223.0,5.4,inman middle,samuel inman middle,9,N,N,S,0,0
best middle,ATLANTA PUBLIC SCHOO,,842.35,6.9,49.2,43.9,93.1,,846.84,9.0,42.4,48.6,91.0,,826.27,25.1,44.3,30.7,74.9,,825.54,,45.5,28.2,73.7,,829.26,,36.8,39.3,76.0,8,321.0,321.0,323.0,323.0,26.3,321.0,24.0,sutton middle,best middle,9,N,N,F,0,1
coan middle saturday,ATLANTA PUBLIC SCHOO,,824.47,5.7,85.8,8.5,94.3,,830.59,6.6,67.9,25.5,93.4,,792.89,64.2,32.1,3.8,35.8,,800.56,,49.1,3.8,52.8,,798.07,,40.6,1.9,42.5,8,106.0,106.0,106.0,106.0,47.2,106.0,57.5,coan middle s,coan middle saturday,9,N,N,F,0,1
john f kennedy middle,ATLANTA PUBLIC SCHOO,,820.2,12.4,79.0,8.6,87.6,,826.35,11.4,67.6,21.0,88.6,,803.51,39.0,55.2,5.7,61.0,,793.1,,36.2,1.0,37.1,,794.72,,44.8,1.0,45.7,8,105.0,105.0,105.0,105.0,62.9,105.0,54.3,kennedy middl,john f kennedy middle,9,N,N,F,0,1
parks middle,ATLANTA PUBLIC SCHOO,,826.17,6.0,81.5,12.6,94.0,,834.44,10.6,56.3,33.1,89.4,,811.3,29.8,57.6,12.6,70.2,,793.38,,35.1,0.0,35.1,,785.34,,28.0,0.7,28.7,8,151.0,151.0,151.0,151.0,64.9,150.0,71.3,parks middle,parks middle,9,N,N,F,0,1
