Georgia Department Of Education
Free and Reduced Price Meal Eligibility
Free and Reduced Lunch (FRL) - Fiscal Year 2013 Data Report
 
System ID, System Name,School ID - School Name,KK-12 % FRL
761,Atlanta Public Schools, 0103 - Heritage Academy Elementary School,*
761,Atlanta Public Schools, 0117 - Atlanta Preparatory Academy,74.52
761,Atlanta Public Schools, 1208 - Wesley International Academy Charter,58.27
761,Atlanta Public Schools, 0199 - Centennial Place Academy (Charter),70.02
761,Atlanta Public Schools, 1664 - Morningside Elementary School,7.85
761,Atlanta Public Schools, 3566 - William J. Scott Elementary School,*
761,Atlanta Public Schools, 0124 - Intown Charter Academy,87
761,Atlanta Public Schools, 0182 - Benjamin E. Mays High School,78.93
761,Atlanta Public Schools, 2560 - Charles L. Gideons Elementary School,*
761,Atlanta Public Schools, 0100 - Herman J. Russell West End Academy,*
761,Atlanta Public Schools, 0508 - Therrell School of Law  Government and Public Policy - C,83.2
761,Atlanta Public Schools, 0122 - KIPP VISION Charter School,94.09
761,Atlanta Public Schools, 0186 - Maynard Jackson High School,*
761,Atlanta Public Schools, 0192 - North Atlanta High School,51.8
761,Atlanta Public Schools, 0208 - South Atlanta Law and Social Justice School,89.12
761,Atlanta Public Schools, 0303 - Bolton Academy Elementary ,72.78
761,Atlanta Public Schools, 5066 - Barack and Michelle Obama Academy,*
761,Atlanta Public Schools, 5563 - Kennedy Middle School,*
761,Atlanta Public Schools, 0207 - Hillside Conant School,85.92
761,Atlanta Public Schools, 0116 - Springdale Park Elementary School,15.03
761,Atlanta Public Schools, 0304 - Deerwood Academy ,82.97
603,Bacon County, 0202 - Bacon County Middle School,69.75
603,Bacon County, 3050 - Bacon County Elementary School,66.21
603,Bacon County, 0102 - Bacon County Primary School,73.42
603,Bacon County, 0302 - Bacon County High School,61.92
604,Baker County, 0105 - Baker County High School,*
605,Baldwin County, 0189 - Baldwin High School,75.14
605,Baldwin County, 0104 - Eagle Ridge Elementary School,91.03
605,Baldwin County, 0100 - Oak Hill MS,87.7
605,Baldwin County, 0194 - Midway Elementary School,89.7
605,Baldwin County, 0199 - Creekside Elementary School,68.69
605,Baldwin County, 0195 - Blandy Hills Elementary School,75.19
606,Banks County, 0205 - Banks County Primary School,68
606,Banks County, 0105 - Banks County Middle School,65.8
606,Banks County, 0107 - Banks County Elementary School,66.41
606,Banks County, 0199 - Banks County High School,59.28
607,Barrow County, 0198 - Westside Middle School,65.43
607,Barrow County, 2052 - Z - Winder-Barrow Middle School,68.69
607,Barrow County, 4050 - Holsenbeck Elementary School,70.37
607,Barrow County, 0105 - County Line Elementary School,78.06
607,Barrow County, 3052 - Winder-Barrow High School,54.01
607,Barrow County, 1050 - Auburn Elementary School,66.86
607,Barrow County, 0205 - Bethlehem Elementary School,65.63
607,Barrow County, 0193 - Bramlett Elementary School,48.95
607,Barrow County, 0101 - Apalachee High School,56.01
607,Barrow County, 5050 - Statham Elementary School,64.54
607,Barrow County, 0289 - Russell Middle School,66.32
607,Barrow County, 0298 - Yargo Elementary School,57.44
607,Barrow County, 0189 - Kennedy Elementary School,76.49
607,Barrow County, 0113 - Snodon Preparatory School,*
607,Barrow County, 0106 - Haymon-Morris Middle School,61.39
608,Bartow County, 0115 - Cloverleaf Elementary,70.22
608,Bartow County, 0301 - Adairsville Middle School,56.16
608,Bartow County, 0175 - White Elementary School,61.8
608,Bartow County, 0105 - Adairsville High School,52.84
608,Bartow County, 0104 - Clear Creek Elementary School,65.96
608,Bartow County, 0107 - Euharlee Elementary School,56.31
608,Bartow County, 0101 - Woodland Middle School at Euharlee,53.88
608,Bartow County, 0114 - Cass High School,57.3
608,Bartow County, 0377 - Hamilton Crossing Elementary School,60.81
608,Bartow County, 0177 - Adairsville Elementary School,58.99
608,Bartow County, 0196 - Allatoona Elementary School,83.15
608,Bartow County, 0198 - Woodland High School,47.94
608,Bartow County, 0396 - Taylorsville Elementary School,57.95
608,Bartow County, 0296 - Kingston Elementary School,85.29
608,Bartow County, 0195 - Cass Middle School,63
608,Bartow County, 2052 - Emerson Elementary School,76
608,Bartow County, 0190 - Red Top Middle School,73.7
608,Bartow County, 0106 - Pine Log Elementary,60.99
608,Bartow County, 0186 - Mission Road Elementary School,56.33
609,Ben Hill County, 0291 - Fitzgerald High School School College and Career Academy,78.67
609,Ben Hill County, 0196 - Ben Hill County Primary School,85.34
609,Ben Hill County, 0296 - Ben Hill County Middle School,81.12
609,Ben Hill County, 0111 - Ben Hill Elementary School,81.75
